first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_100_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3E44 bc=883C de=4B32 hl=A6B4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_101_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C044 bc=87AF de=4C32 hl=A6B8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_102_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C044 bc=86CD de=A695 hl=A6BC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_103_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=CD44 bc=859C de=3EA6 hl=A6C0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_104_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0144 bc=8432 de=DCA3 hl=A6C4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_105_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=F144 bc=83C9 de=C5F5 hl=A6C8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_106_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=D544 bc=82E5 de=2C3A hl=A6CC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_107_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=E444 bc=81B7 de=7620 hl=A6D0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_108_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3A44 bc=804B de=47C0 hl=A6D4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_109_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3A44 bc=7F4C de=B0C0 hl=A6D8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_110_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2844 bc=7E6C de=882A hl=A6DC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_111_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=EA44 bc=7DED de=A55B hl=A6E0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
